Simbol,Izdavatelj,ISIN,Broj izdanih,Nominala,Datum uvrštenja,url
MGMA,"MAGMA d.d. za proizvodnju, promet i vanjsku trgovinu",HRMGMARA0005,4.874.160,"10,00 HRK",13.11.2017,http://www.zse.hr/default.aspx?id=10006&dionica=1054
MIV,METALSKA INDUSTRIJA VARAŽDIN dioničko društvo,HRMIV0RA0005,15.018,"3.700,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=757
MRSK,MARASKA dioničko društvo za proizvodnju i promet alkoholnih i bezalkoholnih pića,HRMRSKRA0004,1.427.405,"70,00 HRK",24.5.2001,http://www.zse.hr/default.aspx?id=10006&dionica=774
OLVD,"OLYMPIA VODICE dioničko društvo za ugostiteljstvo, turizam i turistička agencija",HROLVDRA0002,468.786, ,10.8.2007,http://www.zse.hr/default.aspx?id=10006&dionica=1055
OPTE,OT-OPTIMA TELEKOM d.d. za telekomunikacije,HROPTERA0001,69.443.264,"10,00 HRK",7.1.2008,http://www.zse.hr/default.aspx?id=10006&dionica=1087
PBZ,PRIVREDNA BANKA ZAGREB - DIONIČKO DRUŠTVO,HRPBZ0RA0004,19.074.769,"100,00 HRK",22.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=117
PDBA,PODRAVSKA BANKA dioničko društvo,HRPDBARA0008,668.749,"400,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=802
PIKR,"PREHRAMBENO INDUSTRIJSKI KOMBINAT dioničko društvo za proizvodnju, preradu i trgovinu",HRPIKRRA0003,202.080,"0,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=805
PIVK,"PIK-VINKOVCI dioničko društvo za poljoprivrednu proizvodnju, prehrambenu industriju i promet",HRPIVKRA0007,317.225,"400,00 HRK",22.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=806
PLAG,PLAVA LAGUNA dioničko društvo za ugostiteljstvo i turizam,HRPLAGRA0003,2.197.772,"0,00 HRK",15.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=20
PLAG2,PLAVA LAGUNA dioničko društvo za ugostiteljstvo i turizam,HRPLAGPA0005,420.000,"250,00 HRK",15.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=277
PLCH,PALACE HOTEL ZAGREB. d.d.,HRPLCHRA0000,126.726,"400,00 HRK",4.4.2007,http://www.zse.hr/default.aspx?id=10006&dionica=809
PODR,"PODRAVKA prehrambena industrija, d.d.",HRPODRRA0004,7.120.003,"220,00 HRK",27.12.2018,http://www.zse.hr/default.aspx?id=10006&dionica=11
PTKM,"PETROKEMIJA, d.d. tvornica gnojiva",HRPTKMRA0005,872.930,"10,00 HRK",24.6.2003,http://www.zse.hr/default.aspx?id=10006&dionica=258
PUNT,"POUNJE Trikotaža, dioničko društvo",HRPUNTRA0002,1.333.350,"10,00 HRK",3.5.2006,http://www.zse.hr/default.aspx?id=10006&dionica=403
PUNT2,"POUNJE Trikotaža, dioničko društvo",HRPUNTPA0004,300.000,"10,00 HRK",3.5.2006,http://www.zse.hr/default.aspx?id=10006&dionica=427
QUNE,Quaestus Nekretnine dioničko društvo za poslovanje nekretninama u likvidaciji,HRQUNERA0008,2.255.463,"0,00 HRK",30.4.2008,http://www.zse.hr/default.aspx?id=10006&dionica=1104
RIVP,Valamar Riviera dioničko društvo za turizam,HRRIVPRA0000,126.027.542,"0,00 HRK",17.12.2014,http://www.zse.hr/default.aspx?id=10006&dionica=18
RIZO,"RIZ-ODAŠILJAČI, dioničko društvo",HRRIZORA0007,374.179,"200,00 HRK",31.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=332
SAPN,"Saponia kemijska, prehrambena i farmaceutska industrija d.d.",HRSAPNRA0007,658.564,"0,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=869
SLPF,SLAVONSKI ZATVORENI ALTERNATIVNI INVESTICIJSKI FOND S JAVNOM PONUDOM dioničko društvo,HRSLPFRA0004,3.346.418,"20,00 HRK",16.8.2001,http://www.zse.hr/default.aspx?id=10006&dionica=187
SLRS,"SOLARIS, dioničko društvo za hotelijerstvo, ugostiteljstvo i turizam",HRSLRSRA0007,617.719,"300,00 HRK",8.9.2003,http://www.zse.hr/default.aspx?id=10006&dionica=349
SNBA,SLATINSKA BANKA d.d.,HRSNBARA0003,918.972,"100,00 HRK",5.2.2002,http://www.zse.hr/default.aspx?id=10006&dionica=900
SPVA,"Drvna industrija SPAČVA dioničko društvo
",HRSPVARA0007,5.276.522,"20,00 HRK",16.6.1997,http://www.zse.hr/default.aspx?id=10006&dionica=905
STJD,STANOVI JADRAN d.d. za poslovanje nekretninama,HRSTJDRA0006,381.240,"200,00 HRK",29.6.2018,http://www.zse.hr/default.aspx?id=10006&dionica=1639
SUKC,"SUNCE KONCERN d.d. za turizam i ugostiteljstvo
",HRSUKCRA0001,5.393.850,"100,00 HRK",27.12.2018,http://www.zse.hr/default.aspx?id=10006&dionica=1630
